freq, nonideal i, ideal i
224.099999999999994316 MHz,0.00001257778288829887 + j0.00709302286423588862 ,0.00000000000000000000 + j0.00704030913669472652 
225.099999999999994316 MHz,0.00001269198515332579 + j0.00712515119326011335 ,0.00000000000000000000 + j0.00707172506323062392 
226.099999999999994316 MHz,0.00001280672658352023 + j0.00715728596060232272 ,0.00000000000000000000 + j0.00710314098976652219 
227.099999999999994316 MHz,0.00001292200759734088 + j0.00718942719631287305 ,0.00000000000000000000 + j0.00713455691630241959 
228.099999999999994316 MHz,0.00001303782861531229 + j0.00722157493046178718 ,0.00000000000000000000 + j0.00716597284283831786 
229.099999999999994316 MHz,0.00001315419006002777 + j0.00725372919313886123 ,0.00000000000000000000 + j0.00719738876937421525 
230.099999999999994316 MHz,0.00001327109235615231 + j0.00728589001445375389 ,0.00000000000000000000 + j0.00722880469591011352 
231.099999999999994316 MHz,0.00001338853593042554 + j0.00731805742453609052 ,0.00000000000000000000 + j0.00726022062244601092 
232.099999999999994316 MHz,0.00001350652121166465 + j0.00735023145353555160 ,0.00000000000000000000 + j0.00729163654898190919 
233.099999999999994316 MHz,0.00001362504863076737 + j0.00738241213162197426 ,0.00000000000000000000 + j0.00732305247551780746 
234.099999999999994316 MHz,0.00001374411862071498 + j0.00741459948898544764 ,0.00000000000000000000 + j0.00735446840205370485 
235.099999999999994316 MHz,0.00001386373161657526 + j0.00744679355583641265 ,0.00000000000000000000 + j0.00738588432858960312 
236.099999999999994316 MHz,0.00001398388805550554 + j0.00747899436240575307 ,0.00000000000000000000 + j0.00741730025512550052 
237.099999999999994316 MHz,0.00001410458837675573 + j0.00751120193894489960 ,0.00000000000000000000 + j0.00744871618166139879 
238.099999999999994316 MHz,0.00001422583302167132 + j0.00754341631572592614 ,0.00000000000000000000 + j0.00748013210819729619 
239.099999999999994316 MHz,0.00001434762243369651 + j0.00757563752304164523 ,0.00000000000000000000 + j0.00751154803473319446 
240.099999999999994316 MHz,0.00001446995705837723 + j0.00760786559120569909 ,0.00000000000000000000 + j0.00754296396126909359 
241.099999999999994316 MHz,0.00001459283734336426 + j0.00764010055055267586 ,0.00000000000000000000 + j0.00757437988780499012 
242.099999999999994316 MHz,0.00001471626373841633 + j0.00767234243143819113 ,0.00000000000000000000 + j0.00760579581434088926 
243.099999999999994316 MHz,0.00001484023669540324 + j0.00770459126423899115 ,0.00000000000000000000 + j0.00763721174087678666 
244.099999999999994316 MHz,0.00001496475666830899 + j0.00773684707935304999 ,0.00000000000000000000 + j0.00766862766741268492 
245.099999999999994316 MHz,0.00001508982411323497 + j0.00776910990719967276 ,0.00000000000000000000 + j0.00770004359394858232 
246.099999999999994316 MHz,0.00001521543948840310 + j0.00780137977821959185 ,0.00000000000000000000 + j0.00773145952048448059 
247.099999999999994316 MHz,0.00001534160325415901 + j0.00783365672287506150 ,0.00000000000000000000 + j0.00776287544702037886 
248.099999999999994316 MHz,0.00001546831587297527 + j0.00786594077164995582 ,0.00000000000000000000 + j0.00779429137355627626 
249.099999999999994316 MHz,0.00001559557780945458 + j0.00789823195504988328 ,0.00000000000000000000 + j0.00782570730009217452 
250.099999999999994316 MHz,0.00001572338953033304 + j0.00793053030360226473 ,0.00000000000000000000 + j0.00785712322662807106 
251.099999999999994316 MHz,0.00001585175150448335 + j0.00796283584785644274 ,0.00000000000000000000 + j0.00788853915316397106 
252.099999999999994316 MHz,0.00001598066420291812 + j0.00799514861838378221 ,0.00000000000000000000 + j0.00791995507969986759 
253.099999999999994316 MHz,0.00001611012809879316 + j0.00802746864577777615 ,0.00000000000000000000 + j0.00795137100623576586 
254.099999999999994316 MHz,0.00001624014366741069 + j0.00805979596065411856 ,0.00000000000000000000 + j0.00798278693277166412 
255.099999999999994316 MHz,0.00001637071138622278 + j0.00809213059365083802 ,0.00000000000000000000 + j0.00801420285930756239 
256.100000000000022737 MHz,0.00001650183173483461 + j0.00812447257542837920 ,0.00000000000000000000 + j0.00804561878584346066 
257.100000000000022737 MHz,0.00001663350519500780 + j0.00815682193666970520 ,0.00000000000000000000 + j0.00807703471237935719 
258.100000000000022737 MHz,0.00001676573225066381 + j0.00818917870808039822 ,0.00000000000000000000 + j0.00810845063891525546 
259.100000000000022737 MHz,0.00001689851338788734 + j0.00822154292038876529 ,0.00000000000000000000 + j0.00813986656545115372 
260.100000000000022737 MHz,0.00001703184909492966 + j0.00825391460434593202 ,0.00000000000000000000 + j0.00817128249198705199 
261.100000000000022737 MHz,0.00001716573986221207 + j0.00828629379072593972 ,0.00000000000000000000 + j0.00820269841852295026 
262.100000000000022737 MHz,0.00001730018618232931 + j0.00831868051032585813 ,0.00000000000000000000 + j0.00823411434505884679 
263.100000000000022737 MHz,0.00001743518855005302 + j0.00835107479396588435 ,0.00000000000000000000 + j0.00826553027159474506 
264.100000000000022737 MHz,0.00001757074746233521 + j0.00838347667248943128 ,0.00000000000000000000 + j0.00829694619813064332 
265.100000000000022737 MHz,0.00001770686341831170 + j0.00841588617676324209 ,0.00000000000000000000 + j0.00832836212466654159 
266.100000000000022737 MHz,0.00001784353691930559 + j0.00844830333767748916 ,0.00000000000000000000 + j0.00835977805120243812 
267.100000000000022737 MHz,0.00001798076846883093 + j0.00848072818614586943 ,0.00000000000000000000 + j0.00839119397773833639 
268.100000000000022737 MHz,0.00001811855857259606 + j0.00851316075310571546 ,0.00000000000000000000 + j0.00842260990427423466 
269.100000000000022737 MHz,0.00001825690773850723 + j0.00854560106951809083 ,0.00000000000000000000 + j0.00845402583081013292 
270.100000000000022737 MHz,0.00001839581647667217 + j0.00857804916636788900 ,0.00000000000000000000 + j0.00848544175734603119 
271.100000000000022737 MHz,0.00001853528529940368 + j0.00861050507466394784 ,0.00000000000000000000 + j0.00851685768388192772 
272.100000000000022737 MHz,0.00001867531472122321 + j0.00864296882543914326 ,0.00000000000000000000 + j0.00854827361041782599 
273.100000000000022737 MHz,0.00001881590525886442 + j0.00867544044975049160 ,0.00000000000000000000 + j0.00857968953695372426 
274.100000000000022737 MHz,0.00001895705743127692 + j0.00870791997867925022 ,0.00000000000000000000 + j0.00861110546348962252 
275.100000000000022737 MHz,0.00001909877175962980 + j0.00874040744333102852 ,0.00000000000000000000 + j0.00864252139002551906 
276.100000000000022737 MHz,0.00001924104876731538 + j0.00877290287483589205 ,0.00000000000000000000 + j0.00867393731656141906 
277.100000000000022737 MHz,0.00001938388897995285 + j0.00880540630434845095 ,0.00000000000000000000 + j0.00870535324309731733 
278.100000000000022737 MHz,0.00001952729292539195 + j0.00883791776304796925 ,0.00000000000000000000 + j0.00873676916963321386 
279.100000000000022737 MHz,0.00001967126113371674 + j0.00887043728213848456 ,0.00000000000000000000 + j0.00876818509616911212 
280.100000000000022737 MHz,0.00001981579413724929 + j0.00890296489284888963 ,0.00000000000000000000 + j0.00879960102270501039 
281.100000000000022737 MHz,0.00001996089247055341 + j0.00893550062643305026 ,0.00000000000000000000 + j0.00883101694924090866 
282.100000000000022737 MHz,0.00002010655667043849 + j0.00896804451416989903 ,0.00000000000000000000 + j0.00886243287577680519 
283.100000000000022737 MHz,0.00002025278727596322 + j0.00900059658736355322 ,0.00000000000000000000 + j0.00889384880231270346 
284.100000000000022737 MHz,0.00002039958482843940 + j0.00903315687734340157 ,0.00000000000000000000 + j0.00892526472884860173 
285.100000000000022737 MHz,0.00002054694987143576 + j0.00906572541546422569 ,0.00000000000000000000 + j0.00895668065538449999 
286.100000000000022737 MHz,0.00002069488295078181 + j0.00909830223310629030 ,0.00000000000000000000 + j0.00898809658192039826 
287.100000000000022737 MHz,0.00002084338461457169 + j0.00913088736167545593 ,0.00000000000000000000 + j0.00901951250845629479 
288.100000000000022737 MHz,0.00002099245541316805 + j0.00916348083260329002 ,0.00000000000000000000 + j0.00905092843499219306 
289.100000000000022737 MHz,0.00002114209589920589 + j0.00919608267734716052 ,0.00000000000000000000 + j0.00908234436152809133 
290.100000000000022737 MHz,0.00002129230662759650 + j0.00922869292739034001 ,0.00000000000000000000 + j0.00911376028806398959 
291.100000000000022737 MHz,0.00002144308815553143 + j0.00926131161424212541 ,0.00000000000000000000 + j0.00914517621459988786 
292.100000000000022737 MHz,0.00002159444104248633 + j0.00929393876943792989 ,0.00000000000000000000 + j0.00917659214113578439 
293.100000000000022737 MHz,0.00002174636585022501 + j0.00932657442453939389 ,0.00000000000000000000 + j0.00920800806767168266 
294.100000000000022737 MHz,0.00002189886314280332 + j0.00935921861113449792 ,0.00000000000000000000 + j0.00923942399420758093 
295.100000000000022737 MHz,0.00002205193348657324 + j0.00939187136083765098 ,0.00000000000000000000 + j0.00927083992074347919 
296.100000000000022737 MHz,0.00002220557745018681 + j0.00942453270528981722 ,0.00000000000000000000 + j0.00930225584727937573 
297.100000000000022737 MHz,0.00002235979560460025 + j0.00945720267615860789 ,0.00000000000000000000 + j0.00933367177381527573 
298.100000000000022737 MHz,0.00002251458852307790 + j0.00948988130513839408 ,0.00000000000000000000 + j0.00936508770035117226 
299.100000000000022737 MHz,0.00002266995678119636 + j0.00952256862395041946 ,0.00000000000000000000 + j0.00939650362688707053 
300.100000000000022737 MHz,0.00002282590095684859 + j0.00955526466434289228 ,0.00000000000000000000 + j0.00942791955342296879 
301.100000000000022737 MHz,0.00002298242163024795 + j0.00958796945809110325 ,0.00000000000000000000 + j0.00945933547995886706 
302.100000000000022737 MHz,0.00002313951938393235 + j0.00962068303699753317 ,0.00000000000000000000 + j0.00949075140649476533 
303.100000000000022737 MHz,0.00002329719480276841 + j0.00965340543289195697 ,0.00000000000000000000 + j0.00952216733303066186 
304.100000000000022737 MHz,0.00002345544847395561 + j0.00968613667763155821 ,0.00000000000000000000 + j0.00955358325956656013 
305.100000000000022737 MHz,0.00002361428098703042 + j0.00971887680310102274 ,0.00000000000000000000 + j0.00958499918610245839 
306.100000000000022737 MHz,0.00002377369293387056 + j0.00975162584121266017 ,0.00000000000000000000 + j0.00961641511263835666 
307.100000000000022737 MHz,0.00002393368490869916 + j0.00978438382390650792 ,0.00000000000000000000 + j0.00964783103917425493 
308.100000000000022737 MHz,0.00002409425750808904 + j0.00981715078315044051 ,0.00000000000000000000 + j0.00967924696571015146 
309.100000000000022737 MHz,0.00002425541133096692 + j0.00984992675094027367 ,0.00000000000000000000 + j0.00971066289224604973 
310.100000000000022737 MHz,0.00002441714697861771 + j0.00988271175929988574 ,0.00000000000000000000 + j0.00974207881878194799 
311.100000000000022737 MHz,0.00002457946505468881 + j0.00991550584028131482 ,0.00000000000000000000 + j0.00977349474531784626 
312.100000000000022737 MHz,0.00002474236616519433 + j0.00994830902596485940 ,0.00000000000000000000 + j0.00980491067185374279 
313.100000000000022737 MHz,0.00002490585091851956 + j0.00998112134845921539 ,0.00000000000000000000 + j0.00983632659838964106 
314.100000000000022737 MHz,0.00002506991992542522 + j0.01001394283990156286 ,0.00000000000000000000 + j0.00986774252492553933 
315.100000000000022737 MHz,0.00002523457379905181 + j0.01004677353245769442 ,0.00000000000000000000 + j0.00989915845146143759 
316.100000000000022737 MHz,0.00002539981315492404 + j0.01007961345832209150 ,0.00000000000000000000 + j0.00993057437799733586 
317.100000000000022737 MHz,0.00002556563861095516 + j0.01011246264971807363 ,0.00000000000000000000 + j0.00996199030453323239 
318.100000000000022737 MHz,0.00002573205078745153 + j0.01014532113889789373 ,0.00000000000000000000 + j0.00999340623106913066 
319.100000000000022737 MHz,0.00002589905030711688 + j0.01017818895814283364 ,0.00000000000000000000 + j0.01002482215760502893 
320.100000000000022737 MHz,0.00002606663779505689 + j0.01021106613976335148 ,0.00000000000000000000 + j0.01005623808414092719 
321.100000000000022737 MHz,0.00002623481387878358 + j0.01024395271609914414 ,0.00000000000000000000 + j0.01008765401067682546 
322.100000000000022737 MHz,0.00002640357918821988 + j0.01027684871951930513 ,0.00000000000000000000 + j0.01011906993721272373 
323.100000000000022737 MHz,0.00002657293435570409 + j0.01030975418242239747 ,0.00000000000000000000 + j0.01015048586374862200 
324.100000000000022737 MHz,0.00002674288001599449 + j0.01034266913723659587 ,0.00000000000000000000 + j0.01018190179028451853 
325.100000000000022737 MHz,0.00002691341680627381 + j0.01037559361641978567 ,0.00000000000000000000 + j0.01021331771682041679 
326.100000000000022737 MHz,0.00002708454536615379 + j0.01040852765245966517 ,0.00000000000000000000 + j0.01024473364335631506 
327.100000000000022737 MHz,0.00002725626633767992 + j0.01044147127787387053 ,0.00000000000000000000 + j0.01027614956989221333 
328.100000000000022737 MHz,0.00002742858036533588 + j0.01047442452521009024 ,0.00000000000000000000 + j0.01030756549642811160 
329.100000000000022737 MHz,0.00002760148809604827 + j0.01050738742704617271 ,0.00000000000000000000 + j0.01033898142296400813 
330.100000000000022737 MHz,0.00002777499017919123 + j0.01054036001599022512 ,0.00000000000000000000 + j0.01037039734949990639 
331.100000000000022737 MHz,0.00002794908726659115 + j0.01057334232468076264 ,0.00000000000000000000 + j0.01040181327603580466 
332.100000000000022737 MHz,0.00002812378001253130 + j0.01060633438578677951 ,0.00000000000000000000 + j0.01043322920257170293 
333.100000000000022737 MHz,0.00002829906907375655 + j0.01063933623200788610 ,0.00000000000000000000 + j0.01046464512910759946 
334.100000000000022737 MHz,0.00002847495510947821 + j0.01067234789607443037 ,0.00000000000000000000 + j0.01049606105564349773 
335.100000000000022737 MHz,0.00002865143878137860 + j0.01070536941074758629 ,0.00000000000000000000 + j0.01052747698217939600 
336.100000000000022737 MHz,0.00002882852075361597 + j0.01073840080881948746 ,0.00000000000000000000 + j0.01055889290871529426 
337.100000000000022737 MHz,0.00002900620169282924 + j0.01077144212311333636 ,0.00000000000000000000 + j0.01059030883525119253 
338.100000000000022737 MHz,0.00002918448226814278 + j0.01080449338648350674 ,0.00000000000000000000 + j0.01062172476178708906 
339.100000000000022737 MHz,0.00002936336315117131 + j0.01083755463181568929 ,0.00000000000000000000 + j0.01065314068832298733 
340.100000000000022737 MHz,0.00002954284501602468 + j0.01087062589202696626 ,0.00000000000000000000 + j0.01068455661485888560 
341.100000000000022737 MHz,0.00002972292853931281 + j0.01090370720006595892 ,0.00000000000000000000 + j0.01071597254139478386 
342.100000000000022737 MHz,0.00002990361440015052 + j0.01093679858891293162 ,0.00000000000000000000 + j0.01074738846793068039 
343.100000000000022737 MHz,0.00003008490328016249 + j0.01096990009157989415 ,0.00000000000000000000 + j0.01077880439446658040 
344.100000000000022737 MHz,0.00003026679586348819 + j0.01100301174111074747 ,0.00000000000000000000 + j0.01081022032100247866 
345.100000000000022737 MHz,0.00003044929283678677 + j0.01103613357058135652 ,0.00000000000000000000 + j0.01084163624753837520 
346.100000000000022737 MHz,0.00003063239488924215 + j0.01106926561309972204 ,0.00000000000000000000 + j0.01087305217407427173 
347.100000000000022737 MHz,0.00003081610271256795 + j0.01110240790180604641 ,0.00000000000000000000 + j0.01090446810061017173 
348.100000000000022737 MHz,0.00003100041700101244 + j0.01113556046987288113 ,0.00000000000000000000 + j0.01093588402714607000 
349.100000000000022737 MHz,0.00003118533845136368 + j0.01116872335050521359 ,0.00000000000000000000 + j0.01096729995368196653 
350.100000000000022737 MHz,0.00003137086776295460 + j0.01120189657694063007 ,0.00000000000000000000 + j0.01099871588021786306 
351.100000000000022737 MHz,0.00003155700563766799 + j0.01123508018244939385 ,0.00000000000000000000 + j0.01103013180675376306 
352.100000000000022737 MHz,0.00003174375277994154 + j0.01126827420033456664 ,0.00000000000000000000 + j0.01106154773328966133 
353.100000000000022737 MHz,0.00003193110989677320 + j0.01130147866393214733 ,0.00000000000000000000 + j0.01109296365982555786 
354.100000000000022737 MHz,0.00003211907769772613 + j0.01133469360661117954 ,0.00000000000000000000 + j0.01112437958636145786 
