freq, current
339.009999999999990905 MHz,0.01002164043159517806 - j0.09281098269216374319 
340.009999999999990905 MHz,0.00996345247030643553 - j0.09254427676624384091 
341.009999999999990905 MHz,0.00990576788537519438 - j0.09227908100252767143 
342.009999999999990905 MHz,0.00984858090961560420 - j0.09201538277163295865 
343.009999999999990905 MHz,0.00979188585787658591 - j0.09175316958269952305 
344.009999999999990905 MHz,0.00973567712565347188 - j0.09149242908152420417 
345.009999999999990905 MHz,0.00967994918772585415 - j0.09123314904872507902 
346.009999999999990905 MHz,0.00962469659681531274 - j0.09097531739793413008 
347.009999999999990905 MHz,0.00956991398228255498 - j0.09071892217401976433 
348.009999999999990905 MHz,0.00951559604883408031 - j0.09046395155133583887 
349.009999999999990905 MHz,0.00946173757526923113 - j0.09021039383199898343 
350.009999999999990905 MHz,0.00940833341323877616 - j0.08995823744419276236 
351.009999999999990905 MHz,0.00935537848603823496 - j0.08970747094049816295 
352.009999999999990905 MHz,0.00930286778741251479 - j0.08945808299625053472 
353.009999999999990905 MHz,0.00925079638039774492 - j0.08921006240792113406 
354.009999999999990905 MHz,0.00919915939617290020 - j0.08896339809152525868 
355.009999999999990905 MHz,0.00914795203294124087 - j0.08871807908105376617 
356.009999999999990905 MHz,0.00909716955482809536 - j0.08847409452692903131 
357.009999999999990905 MHz,0.00904680729080207038 - j0.08823143369448538387 
358.009999999999990905 MHz,0.00899686063361926011 - j0.08799008596247244463 
359.009999999999990905 MHz,0.00894732503877978570 - j0.08775004082158106844 
360.009999999999990905 MHz,0.00889819602351203665 - j0.08751128787299272682 
361.009999999999990905 MHz,0.00884946916577483526 - j0.08727381682695034559 
362.009999999999990905 MHz,0.00880114010326988119 - j0.08703761750135140252 
363.009999999999990905 MHz,0.00875320453248628304 - j0.08680267982036157792 
364.009999999999990905 MHz,0.00870565820774962286 - j0.08656899381305091512 
365.009999999999990905 MHz,0.00865849694029987432 - j0.08633654961204917377 
366.009999999999990905 MHz,0.00861171659737952795 - j0.08610533745222254121 
367.009999999999990905 MHz,0.00856531310133934465 - j0.08587534766936928687 
